a,b,relationship
湖北开特汽车电子电器系统股份有限公司,空调箱体风门机械传动扭矩及极限位置的测量方法及系统,开发
武汉东焊汽车装备有限公司,一种汽车车门铰链衬套销轴压入设备,开发
东风汽车集团有限公司,ABS磁极固定装置及总成以及集成ABS磁极固定装置的轮毂电机,开发
武汉华工激光工程有限责任公司,用于旋切打孔的光学装置,开发
中铁十一局集团有限公司,大体积混凝土内部温度测量系统及方法,开发
武汉飞恩微电子有限公司,基于压力检测的液位传感器,开发
武汉斗鱼网络科技有限公司,一种内存泄漏的检测方法和装置,开发
武汉斗鱼网络科技有限公司,基于时间轮盘和页面心跳的活跃用户集维护方法及系统,开发
武汉洪山电工科技有限公司,一种励磁功率柜的冷却系统,开发
武汉依迅北斗空间技术有限公司,一种车辆轨迹异常检测方法及系统,开发
东风汽车集团有限公司,一种kit料车旋转随行移载系统,开发
武汉朗德电气有限公司,一种高压电缆泄漏电流监测装置,开发
中车长江车辆有限公司,一种集装箱铝制T地板翻面焊接装置和方法,开发
法雷奥照明湖北技术中心有限公司,旋转式光束图案调整装置及照明和/或信号指示设备,开发
神龙汽车有限公司,机罩在白车身上的检测装置及检测方法,开发
武汉市汉福专用车有限公司,一种井盖修复车及自动铣刨系统,开发
武汉斗鱼网络科技有限公司,一种人脸关键点追踪方法及应用和装置,开发
中贝通信集团股份有限公司,一种用于无线信号接收器的装放机构,开发
武汉元生创新科技有限公司,一种姿态航向参考系统,开发
武汉华中数控股份有限公司,一种永磁同步直线电机的直线运动机构,开发
武汉瑞松北斗汽车装备有限公司,用于多车型无源台车的双向无极支撑机构,开发
武汉宝钢华中贸易有限公司,汽车板材开卷落料工艺,开发
东风汽车有限公司,曲轴在线自动测量仪,开发
武汉欧拓莫科技有限公司,一种用于汽车电机控制安全输入的方法,开发
武汉光发科技有限公司,一种视频图像帧内编码单元纹理分析及编码单元选择方法,开发
中车长江车辆有限公司,一种集装箱铝型材地板自动切割工装,开发
武汉北方能源股份有限公司,一种立体车库的交流充电桩控制系统,开发
武汉凡谷电子技术股份有限公司,TDD同步开关的实现方法及装置,开发
中车长江车辆有限公司,一种转向架及物流运输车,开发
东风汽车集团有限公司,一种用于可变压缩比发动机的润滑系统,开发
武汉钢铁江北集团有限公司,一种抗拉强度≥1000 MPa捆带的生产方法,开发
神龙汽车有限公司,用于白车身扭转试验的高强度可调约束装置,开发
武汉建海精密型材发展有限公司,微型槽类导轨双侧面摆冲的模具结构,开发
武汉斗鱼网络科技有限公司,一种应用操作监测方法及装置,开发
中车长江车辆有限公司,一种用于架车机螺母磨耗的检测装置及检测方法,开发
武汉理工通宇新源动力有限公司,一种电动汽车动力电机变速器端盖装配工装,开发
武汉久久智造科技有限公司,一种摇摆驱动装置,开发
中交第二航务工程局有限公司,预制拼装地下廊道双模掘进机,开发
武汉斗鱼网络科技有限公司,分段选择视图呈现方法、装置及用户终端,开发
武汉飞恩微电子有限公司,一种重载压力传感器及其制造方法,开发
武汉中海庭数据技术有限公司,一种基于视觉众包数据自动生成车道级拓扑关系的方法、系统及存储器,开发
武汉中仪物联技术股份有限公司,基于管道机器人的管道检测系统及检测方法,开发
武汉联航机电有限公司,汽车传动轴上卡紧环自动装配装置,开发
东风汽车集团有限公司,一种集成杯托和扶手加热制冷的扶手结构,开发
武汉鸿博鑫科技有限公司,涡轮壳装夹夹具,开发
神龙汽车有限公司,一种四连杆机罩铰链的装配定位工具及装配方法,开发
武汉东振机电设备有限公司,一种汽车减震器活塞杆的攻丝设备,开发
武汉中海庭数据技术有限公司,一种高精度车道组与传统道路的匹配方法及装置,开发
昌华电气设备集团有限公司,一种基于光纤通信的智能低压开关柜综合监控系统,开发
中交第二航务工程局有限公司,一种箱梁底模系统,开发
东风李尔汽车座椅有限公司,用于汽车后排座椅的地钩锁解锁机构,开发
湖北机电院装备制造有限责任公司,一种减震器压装机,开发
武汉武新电气科技股份有限公司,一种无缝切换的换相装置及方法,开发
武汉中海庭数据技术有限公司,一种基于全局路网特征的不同尺度数据的匹配算法,开发
东风汽车集团有限公司,一种坡度自适应系统用柴油输油泵总成,开发
神龙汽车有限公司,无钥匙识别器初始化及自动检测方法,开发
武汉斑马快跑科技有限公司,基于近距离蓝牙连接的城际网约车的约车方法及系统,开发
武汉铂纳智感科技有限公司,一种同时感知压力与气敏的柔性电子皮肤及其制备方法,开发
东风汽车集团有限公司,带阻尼材料层的轴承盖及滑动轴承,开发
东风汽车集团有限公司,汽油机冷却水高温保护系统及其控制方法,开发
东风汽车集团有限公司,一种发动机冷却水温控制系统及方法,开发
武汉华志机器人产业技术研究院有限公司,目标车辆迁移抬升的方法、装置及系统,开发
东风汽车集团有限公司,换挡机构模拟验证方法,开发
武汉斗鱼网络科技有限公司,Shader文件的加密方法、装置及解密方法、装置,开发
武汉凯沃森天窗系统有限公司,一种汽车天窗双头驱动机构,开发
武汉斑马快跑科技有限公司,司机客户端在线时长的统计方法、服务端及司机客户端,开发
东风汽车集团有限公司,一种可变压缩比发动机的活塞连接结构,开发
中车长江车辆有限公司,一种漏斗车的端墙及使用端墙的漏斗车,开发
武汉华中数控股份有限公司,一种全桥双向逆变模块,开发
武汉光庭信息技术股份有限公司,一种自定义道路数据生成方法和装置,开发
武汉图歌信息技术有限责任公司,一种基于Hadoop的多光谱遥感影像分类处理方法,开发
东风汽车集团有限公司,气压式缓速器及其缓速方法与控制模块,开发
中车长江车辆有限公司,用于漏斗车的端墙、侧墙与漏斗脊的连接结构,开发
武汉元丰汽车零部件有限公司,定位块防旋转结构的整体式卡钳气压盘式制动器,开发
霍立克电气有限公司,一种固封极柱及其生产方法,开发
易瓦特科技股份公司,具有柔性排气管的排气通道,开发
武汉枭龙汽车技术有限公司,一种高精度送料的冲压成型设备,开发
中交第二航务工程局有限公司,匹配浇筑混凝土接触面摩擦系数试验方法,开发
武汉中海庭数据技术有限公司,一种基于激光点云的车道边线自动提取方法及系统,开发
武汉斗鱼网络科技有限公司,选项同步选中方法及装置,开发
武汉特瑞升电子科技有限公司,一种管道声纳视频两栖检测方法及系统,开发
东风汽车集团有限公司,汽车后排防下潜方法及其装置,开发
东风汽车集团有限公司,新能源汽车双系统共用膨胀水箱,开发
武汉普泰金属制造技术有限公司,一种五金制品卷边冲压模具,开发
中车长江车辆有限公司,大型铸钢件湿型粘土砂处理系统及砂处理方法,开发
中石化石油机械股份有限公司,一种聚晶金刚石‑硬质合金复合片及其制备方法,开发
湖北开特汽车电子电器系统股份有限公司,一种汽车空调步进电机力矩输出特性的测量系统,开发
武汉烽火信息集成技术有限公司,一种基于机器学习的网络终端设备识别方法及系统,开发
东风亚普汽车部件有限公司,用于切除汽车油箱金属卡环的刀具,开发
东风富士汤姆森调温器有限公司,用于配置液力缓速器的商用车调温器,开发
武汉斗鱼网络科技有限公司,数据明文获取方法、装置、电子终端及可读存储介质,开发
神龙汽车有限公司,一种汽车翼子板与保险杠的装配结构及其装配方法,开发
山推楚天工程机械有限公司,一种用于混凝土臂架泵车的双泵双向合流阀组及应用,开发
武汉斗鱼网络科技有限公司,一种函数测试代码的生成方法及装置,开发
神龙汽车有限公司,可电动调节头枕高度的座椅,开发
中交第二航务工程局有限公司,大型标准构件的节段匹配预制方法,开发
武汉共康汽车零部件有限公司,三销轴叉测量倒角至基准面量具,开发
武汉斗鱼网络科技有限公司,一种基于安卓系统播放器的控件交互方法及装置,开发
武汉华工激光工程有限责任公司,一种旋转式角度调节镜架和方法,开发
武汉新特光电技术有限公司,汽车发动机缸套激光切割机床,开发
武汉英康汇通电气有限公司,即充式无轨电车控制方法,开发
武汉泛洲中越合金有限公司,一种利用X射线荧光光谱仪扫描道检测元素含量的方法,开发
武汉斑马快跑科技有限公司,一种基于近距离蓝牙热点定位的拼车方法及系统,开发
中铁工程机械研究设计院有限公司,低位大载荷平板运输车,开发
东风汽车集团有限公司,一种VVT初始角度学习控制方法,开发
中车长江车辆有限公司,一种用于平砟的工程车,开发
武汉中原电子集团有限公司,一种卫星授时装置,开发
武汉海达数云技术有限公司,时钟源生成装置及方法,开发
武汉思普崚技术有限公司,根据syslog测试日志审计功能的方法及设备,开发
中车长江车辆有限公司,一种铁路货车用冲击座,开发
武汉市政环卫机械有限公司,一种提升真空抽吸污物深度的方法和提升抽吸深度的真空污物抽吸车具,开发
神龙汽车有限公司,一种客观评价车门玻璃夹持稳定性的方法,开发
三环集团有限公司,一种具有间隙补偿功能的全盘式制动器,开发
九州通医药集团物流有限公司,一种带夹抱机构的可换向式穿梭车,开发
武汉光庭信息技术股份有限公司,自动驾驶中摄像头动态曝光调整方法,开发
武汉雷神特种器材有限公司,一种高速运动线性体的尾部柔性约束保护装置,开发
武汉盛帆电子股份有限公司,一种能够多次组装拆卸的智能型电力仪表,开发
中铁十一局集团有限公司,一种轨排的质量检测方法及系统,开发
武汉斗鱼网络科技有限公司,首页推荐排期方法及装置,开发
东风汽车集团有限公司,一种用于汽车控制器的功能安全电路,开发
武汉樵薪机械制造有限公司,一种支撑平台供油式静压纠偏系统,开发
神龙汽车有限公司,一种基于逆向发光原理的LED光导,开发
湖北正兴设备制造有限公司,车辆的排气制动熄火系统,开发
武汉斑马快跑科技有限公司,网约车安全监测系统及方法,开发
中车长江车辆有限公司,公路铁路两用车连挂装置,开发
武汉斗鱼网络科技有限公司,网页前端测试方法及装置,开发
法雷奥照明湖北技术中心有限公司,光导照明组件、车灯以及用于定位光导部件的方法,开发
武汉瑞松北斗汽车装备有限公司,适用多车型的无源台车平台,开发
东风汽车集团有限公司,一种轮毂轴承动态摩擦力矩测试试验台,开发
武汉斗鱼网络科技有限公司,一种应用流畅度评价方法及装置,开发
东风亚普汽车部件有限公司,汽车燃油箱阀门功能测试装置,开发
中车长江车辆有限公司,一种铁路货车大刀式底门开闭机构的组装方法,开发
武汉盛帆电子股份有限公司,电能表自动贴标生产装置,开发
际华三五零六纺织服装有限公司,作训帽帽沿六道线缝纫辅助装置,开发
武汉瑞松北斗汽车装备有限公司,一种顶棚自动化生产线的外板零件笼,开发
东风汽车有限公司,一种垫片自动排序系统,开发
东风汽车集团有限公司,一种汽车门槛验证装置、系统及方法,开发
武汉斗鱼网络科技有限公司,一种基于智能终端罗盘的加解密方法及系统,开发
武汉元丰汽车零部件有限公司,鼓式驻车制动器单蹄以及鼓式驻车制动器,开发
武汉斗鱼网络科技有限公司,一种添加控件标识的方法和装置,开发
武汉斗鱼网络科技有限公司,一种基于安卓列表的数据处理方法及装置,开发
中车长江车辆有限公司,一种上漏斗与侧墙的连接件和漏斗车,开发
武汉共康汽车零部件有限公司,三销轴叉球面浮动夹具,开发
武汉斗鱼网络科技有限公司,IOS中省流量网络图片的展示交互方法及系统,开发
东风汽车集团有限公司,一种发动机配气相位装配方法,开发
武汉碧海云天科技股份有限公司,一种智能恒流低流量气体采集检测装置与方法,开发
武汉华工正源光子技术有限公司,一种利于U型和双排FOB焊接的FPC制作方法,开发
武汉市恒通诚汽车零部件有限公司,长轴上料装置,开发
武汉斗鱼网络科技有限公司,页面身份获取方法及装置,开发
武汉元光科技有限公司,一种公交推广数据的推广结果确定方法、装置以及服务器,开发
中铁工程机械研究设计院有限公司,一种振源恒压补偿系统,开发
凯德自控武汉智能装备有限公司,涂料设备和涂装方法,开发
武汉斗鱼网络科技有限公司,模型参数处理方法、装置、电子设备及存储介质,开发
武汉斗鱼网络科技有限公司,直播播放卡顿的预测方法、切换方法及装置,开发
武汉中海庭数据技术有限公司,一种基于交叉路口的高精度道路计算匹配方法及系统,开发
武汉重型机床集团有限公司,一种高精度异构压环的加工方法,开发
武汉恒诺汽车零部件有限公司,转向灯警示灯智能控制方法,开发
武汉斗鱼网络科技有限公司,一种在人机交互过程中提升关注度的方法和系统,开发
中交第二航务工程局有限公司,一种U肋内侧焊缝返修焊接辅助装置,开发
中车长江车辆有限公司,用于漏斗车的侧墙与中梁的连接结构,开发
武汉斗鱼网络科技有限公司,校验方法、装置及服务端,开发
武汉斗鱼网络科技有限公司,直播中的相似弹幕合并方法、存储介质、电子设备及系统,开发
武汉飞恩微电子有限公司,集成有光纤传感器、声音传感器和图像监测器的安防装置,开发
武汉立世达电力科技有限公司,一种高压电缆剥皮装置,开发
武汉依迅北斗空间技术有限公司,一种用于教练车的验证系统及其验证方法,开发
湖北华海达汽车安全技术有限公司,汽车电子抗倾覆控制方法,开发
东风汽车集团有限公司,一种氧传感器隔热保护装置,开发
东风汽车有限公司,一种汽车盲点侦测方法及汽车电子设备,开发
神龙汽车有限公司,汽车后座椅靠背骨架的分体式结构及装配方法,开发
中车长江车辆有限公司,基于侧架定位的脱轨检测装置及其检测方法,开发
武汉高德红外股份有限公司,一种非制冷红外焦平面探测器的读出电路及提高良率的方法,开发
中铁科工集团轨道交通装备有限公司,一种带随动支承圈的伸缩式集装箱吊具,开发
武汉斗鱼网络科技有限公司,首页推荐方法及装置,开发
武汉斗鱼网络科技有限公司,基于时间轮盘和播放状态的活跃用户集维护系统及方法,开发
中车长江车辆有限公司,货车转向架轴箱定位装置,开发
武汉盛帆电子股份有限公司,一种光耦电气性能检测装置,开发
易瓦特科技股份公司,用于激光测距的装置,开发
中车长江车辆有限公司,一种漏斗车的下漏斗脊,开发
武汉华工激光工程有限责任公司,一种铝合金基板印制电路板的制备工艺及设备,开发
神龙汽车有限公司,一种车门下沉量快速检测机构,开发
武汉斗鱼网络科技有限公司,应用程序错误定位方法及装置,开发
中车长江车辆有限公司,一种二级锁闭装置、漏斗车底门及漏斗车,开发
武汉乐庭软件技术有限公司,一种T-Box自动化测试方法及系统,开发
东风汽车集团有限公司,一种带助力机构的离合器踏板,开发
武汉依迅北斗空间技术有限公司,一种车辆导航中的偏移判断方法及装置,开发
武汉重型机床集团有限公司,一种超大型立车底座的传动轴孔加工方法及步骤,开发
武汉泛洲机械制造有限公司,一种用于变速箱板簧耐久试验的装置,开发
东风汽车集团有限公司,汽车A柱的侧方视野的验证装置和方法,开发
东风汽车有限公司,用于汽车方向盘的转舵角测量装置及其使用方法,开发
中铁工程机械研究设计院有限公司,车载式伸缩皮带机,开发
武汉盛帆电子股份有限公司,一种适用于潮湿环境的实用型智能电力仪表,开发
神龙汽车有限公司,整车密封性淋雨测试系统,开发
武汉飞恩微电子有限公司,一种压力传感器及其制造方法,开发
易瓦特科技股份公司,用于粉末标识的系统,开发
武汉联航机电有限公司,工件角度调整装置及其全自动激光打标设备,开发
东风本田汽车有限公司,多功能升降主线台板装置,开发
武汉华中数控股份有限公司,一种均压电路,开发
武汉杜曼智能科技有限公司,一种电动车辆在线快速充电系统和充电方法,开发
武汉盛硕电子有限公司,一种控制装置、一种搅拌车,开发
东风汽车集团有限公司,增压直喷发动机缸盖及其冷却水套结构,开发
东风汽车集团有限公司,一种具有双金属片温控结构的内油底壳,开发
东风汽车集团有限公司,一种汽车自夹持杯托结构,开发
中石化石油机械股份有限公司三机分公司,一种薄壁、深孔气缸套的机械加工工艺,开发
武汉东海敏实汽车零部件有限公司,生产物流控制门禁系统,开发
武汉斗鱼网络科技有限公司,一种内存抖动自动化测试方法及装置,开发
中交第二航务工程局有限公司,单洞大断面隧道双侧壁施工转换工艺,开发
武汉泛洲中越合金有限公司,滑靴和柱塞的扣压组合模及扣压装置,开发
武汉中海庭数据技术有限公司,一种基于行车轨迹和视觉车道边线数据的路口识别方法及系统,开发
武汉东环车身系统有限公司,一种绳轮式玻璃升降装置,开发
武汉九武光电技术有限公司,一种多维度可调激光打标机,开发
法雷奥照明湖北技术中心有限公司,内腔式透镜装置以及照明和/或信号指示设备,开发
武汉思普崚技术有限公司,自动化测试命令行命令的方法、设备及存储介质,开发
中铁十一局集团有限公司,一种作用于F轨的吊具,开发
中车长江车辆有限公司,一种磁动力车,开发
东风汽车集团有限公司,动力总成抗扭拉杆结构,开发
神龙汽车有限公司,一种车灯与车灯框架连接结构,开发
神龙汽车有限公司,快速安装门框密封条的工具,开发
法雷奥照明湖北技术中心有限公司,光导部件、光学组件及照明和/或信号指示设备,开发
武汉智能控制工业技术研究院有限公司,一种基于负载检测的电路过载保护系统及保护方法,开发
武汉中海庭数据技术有限公司,基于众包大数据的高精度地图拓扑自动构建方法及系统,开发
神龙汽车有限公司,一种前后车门防擦条的间隙面差检测工具及其检测方法,开发
中车长江车辆有限公司,一种凹底架及多式联运车,开发
武汉中海庭数据技术有限公司,用于解决导航数据增量更新过程中数据冲突的完备包更新方法及系统,开发
中车长江车辆有限公司,一种焊缝质量检测辅助工装及检测方法,开发
中交第二航务工程局有限公司,一种横梁钢筋绑扎支撑架的施工方法,开发
武汉斗鱼网络科技有限公司,用于网络交互的指令识别方法及系统,开发
中交第二航务工程局有限公司,一种组合式剪力键受力试验测试方法,开发
山推楚天工程机械有限公司,齿轮齿条支腿伸缩装置,开发
武汉重型机床集团有限公司,奥氏体不锈钢盘类零件高精度孔系的加工补偿方法,开发
武汉斗鱼网络科技有限公司,根据用户的硬件环境自动推荐网络直播参数的方法和系统,开发
东风汽车集团有限公司,一种用于消除车载无线充电对PEPS干扰的控制系统及控制方法,开发
武汉光庭信息技术股份有限公司,基于安全驾驶地图的车道级别的导航引导系统和方法,开发
中铁十一局集团有限公司,一种轨排的安装精调方法及系统,开发
武汉斗鱼网络科技有限公司,数据测试方法、装置及电子设备,开发
扬子江汽车集团有限公司,纯电动汽车的电机功率控制方法和系统,开发
武汉华工正源光子技术有限公司,一种28G SFP封装的光模块,开发
武汉理工通宇新源动力有限公司,一种变速箱转速测量方法,开发
武汉市尚佳盛汽车配件有限公司,一种尾灯支架的加工方法及加工模具,开发
武汉斗鱼网络科技有限公司,界面测试方法及装置,开发
武汉斗鱼网络科技有限公司,防止被刷的验证方法及装置,开发
武汉泛洲中越合金有限公司,斜面套产品加工夹具,开发
东风汽车集团有限公司,一种集成式阻尼及刚度调节装置,开发
武汉钢铁江北集团冷弯型钢有限公司,一种D形钢管的辊弯成型方法,开发
中车长江车辆有限公司,一种用于漏斗车底门的显示装置,开发
东风汽车集团有限公司,一种防滑移悬置支架及其连接结构,开发
湖北机电院装备制造有限责任公司,一种自动导航车及其驱动结构,开发
中铁建电气化局集团南方工程有限公司,一种高空狭小处螺栓紧固装置,开发
易瓦特科技股份公司,用于粉末标识的装置,开发
武汉齐达康环保科技股份有限公司,一种往复柱塞式气体压缩机及方法,开发
武汉富国发动机科技有限公司,完善实用高效输出的内燃机,开发
神龙汽车有限公司,一种用于车辆装配的拧紧装置,开发
武汉斗鱼网络科技有限公司,一种获取数据的方法及装置,开发
武汉华工正源光子技术有限公司,带反光片实现背光监控功能的光传输组件及装置,开发
东风汽车集团有限公司,一种识别车辆热衰退现象的系统和方法,开发
武汉华中数控股份有限公司,一种基于能耗型的刀具寿命综合管理方法及系统,开发
武汉敏惠汽车零部件有限公司,汽车零部件双工位微型专用龙门铣床,开发
中车长江车辆有限公司,一种交叉结构转向架的检测方法,开发
东风亚普汽车部件有限公司,汽车燃油箱注油管通气性能测试装置,开发
武汉智能控制工业技术研究院有限公司,一种组合横梁及车辆,开发
武汉中海庭数据技术有限公司,基于高精度地图的驾驶辅助装置及方法,开发
东风汽车有限公司,一种汽车后背门,开发
武汉英弗耐斯电子科技有限公司,一种永磁同步电机交直轴电感测量方法,开发
易瓦特科技股份公司,在避障过程中对避障距离进行测量的方法及装置,开发
东风汽车有限公司,汽车仪表的换档提示方法及其系统,开发
中车长江车辆有限公司,CJC型弹性旁承侧板固定装置及CJC型弹性旁承压装方法,开发
武汉斗鱼网络科技有限公司,安卓系统稳定性的自动化测试方法及装置,开发
武汉华中数控股份有限公司,一种数控软件测试系统,开发
武汉斑马快跑科技有限公司,一种车辆行驶路线监控方法、司机客户端和服务器,开发
湖北雷迪特冷却系统股份有限公司,一种具有快速咬合结构的散热器主片,开发
武汉华中数控股份有限公司,一种基于主站设备与从站设备的现场总线实现方法,开发
武汉斗鱼网络科技有限公司,一种方案测试的方法及服务器,开发
武汉光庭信息技术股份有限公司,一种实时路况线的接头处理方法,开发
中车长江车辆有限公司,两用漏斗车,开发
湖北开特汽车电子电器系统股份有限公司,基于LIN通信驱动的汽车伺服步进电机,开发
武汉东海敏实汽车零部件有限公司,不干胶注入辅助装置,开发
武汉锦瑞技术有限公司,一种自动化清洁复杂砂型腔掉砂装置及其操作方法,开发
武汉中海庭数据技术有限公司,一种融合个性偏好因子的路径探索方法,开发
武汉东海敏实汽车零部件有限公司,一种汽车装饰密封条及其制造方法,开发
东风汽车集团有限公司,一种棘轮棘爪配合结构及具有该结构的军用越野车门锁,开发
武汉佳特轿车零部件有限公司,带防误锁机构的中控门锁,开发
东风汽车集团有限公司,前刮水器电机防水防尘结构及其在汽车上的连接结构,开发
武汉佳特轿车零部件有限公司,用于重卡轻卡商用车上的一体式车门锁,开发
神龙汽车有限公司,一种快速检查仪表板在车身上装配界面的工装,开发
武汉斗鱼网络科技有限公司,自动测试Android应用启动时间的方法及系统,开发
湖北德道汽车科技有限公司,一种前保左中右外板冲压工艺,开发
武汉瑞天波谱信息技术有限公司,一种基于接收信号功率信息的辐射源定位方法,开发
武汉格瑞恩电子仪表有限公司,组合仪表,开发
中车长江车辆有限公司,一种制动缸活塞行程及闸调器螺杆长度调整的方法,开发
武汉神骏专用汽车制造股份有限公司,大型回转支承安装座连接面加工铣床,开发
武汉高德红外股份有限公司,一种非制冷红外探测器的像素级封装结构及加工方法,开发
武汉利德测控技术有限公司,一种钢卷位置识别方法,开发
武汉协和齿环有限公司,一种齿环夹具球头柱塞安装工装及安装方法,开发
中车长江车辆有限公司,用于快速检测物件间隙的专用卡尺及使用方法,开发
中车长江车辆有限公司,一种弧形铝合金型材拼接的组焊工装及组焊工艺方法,开发
中交第二航务工程局有限公司,一种铜止水与橡胶止水连接模具,开发
中交第二航务工程局有限公司,用于波形钢腹板组合结构梁桥的短线匹配预制模板系统,开发
神龙汽车有限公司,一种汽车铰链静态载荷试验台及载荷试验方法,开发
东风富士汤姆森调温器有限公司,一种新型电子调温器加热件安装结构,开发
神龙汽车有限公司,一种在涂装生产线制备前处理电泳漆试板的装置,开发
武汉至驱动力科技有限责任公司,纯电动车控制器核心控制算法实时跟踪和校正方法及系统,开发
武汉斗鱼网络科技有限公司,一种带标签的视频排序方法及装置,开发
武汉泛洲中越合金有限公司,滑靴和柱塞的装配系统及装配方法,开发
武汉斗鱼网络科技有限公司,一种自带触发功能的按钮的设计方法与设备,开发
武汉建海精密型材发展有限公司,切断缩口冲模,开发
中车长江车辆有限公司,一种单轨悬挂式动力转向架组装装置及方法,开发
武汉华工正源光子技术有限公司,一种短腔长面发射激光器及其制造方法,开发
中车长江车辆有限公司,车钩缓冲装置压缩垫的安装与卸载方法及取垫装置,开发
武汉华中数控股份有限公司,基于探测器温度的多点非均匀校正的方法,开发
湖北三环汽车电器有限公司,一种用于汽车电喇叭的标签剥离装置,开发
武汉斗鱼网络科技有限公司,基于补集特征的贝叶斯文档分类方法、装置、设备及介质,开发
武汉华工激光工程有限责任公司,一种利用CCD寻边偏移再激光切割的方法,开发
中铁工程机械研究设计院有限公司,一种多支腿轮胎式铺轨起重机及施工方法,开发
武汉碧海云天科技股份有限公司,低脉动小流量抽气泵,开发
湖北雷迪特冷却系统股份有限公司,一种偏心式手动快速夹紧塞头,开发
三环集团有限公司,一种汽车动力转向器内油道控制阀,开发
东风汽车集团有限公司,四轮轮毂电机驱动汽车力矩补偿的组合二阶滑模控制方法,开发
东风汽车集团有限公司,动力电池箱体的吊挂连接结构及其安装方法,开发
武汉华工正源光子技术有限公司,突发接收光功率校准方法及装置,开发
武汉斗鱼网络科技有限公司,多屏互动方法及装置,开发
武汉延锋时代检测技术股份有限公司,一种表面缺陷的分析方法,开发
武汉合康电驱动技术有限公司,确定电压型逆变器IGBT模块结温的方法及设备,开发
武汉斗鱼网络科技有限公司,直播推荐信息处理方法、装置及终端设备,开发
中石化石油机械股份有限公司,一种新型一球式多次激活井下旁通阀及其系统和使用方法,开发
中交第二航务工程局有限公司,基于三维激光扫描的隧道施工初支侵限监测分析预警方法,开发
东风汽车集团有限公司,一种基于不同驾驶员的方向盘智能调节方法,开发
神龙汽车有限公司,一种前脸检测样架定位结构及检测方法,开发
武汉合康亿盛电气连接系统有限公司,一种叠层母排模具,开发
武汉华工激光工程有限责任公司,全自动翻板定位机构,开发
武汉重型机床集团有限公司,大型铸件的浇注系统与浇注方法,开发
武汉斗鱼网络科技有限公司,安卓应用中预览视频的全屏播放方法及系统,开发
武汉斑马快跑科技有限公司,近距离wifi热点定位的快速约车方法及系统,开发
湖北正兴设备制造有限公司,一种发动机冷却液散热水箱内部腐蚀试验台,开发
武汉高木汽车部件有限公司,汽车后牌照固定架,开发
湖北三环汽车工程塑料有限公司,一种环保轻量化隔音垫及其生产方法,开发
武汉华工激光工程有限责任公司,一种电梯厅门板及轿壁板激光搭接焊接工艺,开发
中车长江车辆有限公司,一种敞车的侧墙结构,开发
中车长江车辆有限公司,一种控制底门开闭的装置,开发
武汉斗鱼网络科技有限公司,基于时间轮盘和页面行为的活跃用户集维护方法及系统,开发
东风汽车有限公司,连杆衬套压装系统及压装方法,开发
武汉东焊汽车装备有限公司,一种多角度焊接固定装置,开发
东风汽车集团有限公司,一种增压发动机曲轴箱通风系统结构,开发
武汉宝钢华中贸易有限公司,一种落料模具废料刀总成,开发
中车长江车辆有限公司,一种控制底门开闭的装置及铁路漏斗车,开发
