专利号,专利名称,专利类型,申请日,公开日,授权日,专利代理机构,专利法律状态,申请人类型,主申请人名称,主申请人地址,主申请人地址国家,累计被引用量,主分类号,专利分类号,专利分类号数量,国民经济行业分类代码,国民经济行业分类名称,大类,子类别
CN109209546B,连续可变气门升程机构的间隙调节装置及调节方法,发明授权,2018-09-30,2019-01-15,2019-12-27,武汉开元知识产权代理有限公司,授权,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,,F01L1/24(2006.01),F01L1/24(2006.01);F01L1/46(2006.01);F01L13/00(2006.01);G01B11/04(2006.01),4.0,3412.0,内燃机及配件制造,发动机制造,专用技术研发与设计配气机构生产
CN104100352B,商用车配缓速器用流量调节阀,发明授权,2014-06-24,2014-10-15,2016-10-05,武汉开元知识产权代理有限公司,授权,企业,东风富士汤姆森调温器有限公司,430056 湖北省武汉市经济技术开发区枫树二路51号,CHN,,F01P7/16(2006.01),F01P7/16(2006.01),1.0,3412.0,内燃机及配件制造,辅助系统生产,智能装置生产
CN109355644B,一种镍-铁-磷合金镀层的镀液及其配制方法和施镀方法,发明授权,2018-10-17,2019-02-19,2020-07-28,武汉谦源知识产权代理事务所(普通合伙),发明专利权授予,企业,武汉欣远拓尔科技有限公司,430000 湖北省武汉市江岸区汉黄路888号岱家山科技创业城C-01厂房,CHN,.,C23C18/50(2006.01),C23C18/50(2006.01),1.0,3360.0,金属表面处理及热处理加工,研发与设计辅助系统生产,专用技术研发与设计复合材料生产
CN106194547B,汽车点火线圈性能检测装置及其方法,发明授权,2016-08-24,2016-12-07,2018-04-10,武汉宇晨专利事务所,授权,企业,武汉菱电汽车电控系统股份有限公司,430048 湖北省武汉市东西湖区金银湖街清水路特8号,CHN,.,F02P17/00(2006.01),F02P17/00(2006.01),1.0,3412,内燃机及配件制造,汽车测试,汽车测试
CN105134927B,一种通过冷却介质控制变速箱油温的温控装置,发明授权,2015-08-24,2015-12-09,2018-01-09,武汉开元知识产权代理有限公司,授权,企业,东风富士汤姆森调温器有限公司,430056 湖北省武汉市经济技术开发区枫树二路51号,CHN,.,F16H57/04(2010.01),F16H57/04(2010.01),1.0,3459.0,其他传动部件制造,辅助系统生产,冷却系统生产
CN108638822B,一种具有电池热管理系统的电动汽车机舱布置结构,发明授权,2018-06-28,2018-10-12,2020-04-03,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60K1/04(2019.01),B60K1/04(2019.01);H01M10/613(2014.01);H01M10/615(2014.01);H01M10/625(2014.01),4.0,3630.0,低速载货汽车制造,研发与设计电气设备生产,专用技术研发与设计电控系统生产
CN106972599B,一种柔性智能充电站及充电方法,发明授权,2017-04-14,2017-07-21,2019-10-08,武汉宇晨专利事务所,授权,企业,武汉中原电子集团有限公司,430200 湖北省武汉市高新四路1号武汉中原电子集团产业园,CHN,,H02J7/02(2016.01),H02J7/02(2016.01);B60L53/31(2019.01),2.0,3829,其他输配电及控制设备制造,电气设备生产,电控系统生产蓄电池生产
CN102102563B,一种用于内燃机尾气处理装置中的喷嘴结构,发明授权,2006-12-04,2011-06-22,2015-05-20,北京正理专利代理有限公司,专利实施许可合同备案的生效、变更及注销,企业,武汉洛特福动力技术有限公司,430000 湖北省武汉市光谷大道303号文华楼101,CHN,,F01N3/20(2006.01)I,F01N3/20(2006.01)I;F01N3/24(2006.01)I,2.0,3412.0,内燃机及配件制造,发动机制造,排气系统生产
CN108871368B,一种高精度地图车道横向拓扑关系的构建方法、系统及存储器,发明授权,2018-08-06,2018-11-23,2020-12-29,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉中海庭数据技术有限公司,430000 湖北省武汉市硚口区古田一路28号新工厂产业园7号A楼,CHN,.,G01C21/34(2006.01),G01C21/34(2006.01);G06F16/29(2019.01),2.0,4023,导航、气象及海洋专用仪器制造,研发与设计,专用技术研发与设计
CN109228969B,座椅滑轨调节装置和座椅,发明授权,2018-10-15,2019-01-18,2020-09-25,北京邦信阳专利商标代理有限公司,发明专利权授予,企业,东风汽车有限公司,510800 广东省广州市花都区风神大道12号,CHN,.,B60N2/07(2006.01),B60N2/07(2006.01);B60N2/08(2006.01),2.0,3660.0,汽车零部件及配件制造,整车组装,座椅生产
CN106338004B,一种自循环气液混输增压装置及方法,发明授权,2016-10-08,2017-01-18,2019-01-22,北京天奇智新知识产权代理有限公司,授权,企业,武汉齐达康环保科技股份有限公司,430000 湖北省武汉市汉阳区永丰街彭家岭366号,CHN,,F17D1/00(2006.01),F17D1/00(2006.01),1.0,4090.0,其他仪器仪表制造业,研发与设计辅助系统生产,专用技术研发与设计汽车安保系统生产
CN105628274B,汽车燃油箱油泵安装轴向力测试装置,发明授权,2015-12-23,2016-06-01,2018-04-06,武汉开元知识产权代理有限公司,授权,企业,东风亚普汽车部件有限公司,430056 湖北省武汉市武汉经济技术开发区车城大道242号,CHN,.,G01L5/00(2006.01),G01L5/00(2006.01),1.0,4090,其他仪器仪表制造业,研发与设计汽车测试,专用技术研发与设计汽车测试
CN109252993B,一种坡度自适应柴油发动机供油系统,发明授权,2018-09-17,2019-01-22,2020-11-03,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F02M37/00(2006.01),F02M37/00(2006.01);F02M37/04(2006.01);F02M37/44(2019.01);F02M37/50(2019.01);B60K15/03(2006.01),5.0,3412.0,内燃机及配件制造,发动机制造,燃料供给系统生产
CN109538381B,一种PHEV和HEV车型的燃油箱内部压力降低方法和汽车,发明授权,2018-12-24,2019-03-29,2020-06-02,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F02M25/08(2006.01),F02M25/08(2006.01),1.0,3412.0,内燃机及配件制造,研发与设计辅助系统生产,专用技术研发与设计燃料供给系统生产
CN106330560B,IOS系统测试时实现系统设置内切换服务器的方法及装置,发明授权,2016-08-31,2017-01-11,2019-09-10,武汉智权专利代理事务所(特殊普通合伙),授权,企业,武汉斗鱼网络科技有限公司,430000 湖北省武汉市东湖开发区软件园东路1号软件产业4.1期B1栋11楼,CHN,,H04L12/24(2006.01),H04L12/24(2006.01);H04L12/26(2006.01);H04L29/08(2006.01);H04L29/12(2006.01),4.0,3921.0,通信系统设备制造,研发与设计,专用技术研发与设计汽车测试
CN102699525B,一种激光无序毛化轧辊表面的加工方法和加工设备,发明授权,2012-05-25,2012-10-03,2016-03-02,北京汇泽知识产权代理有限公司,授权,企业,武汉华工激光工程有限责任公司,430223 湖北省武汉市东湖开发区华中科技大学科技园激光产业园,CHN,,B23K26/352(2014.01),B23K26/352(2014.01),1.0,3421.0,金属切削机床制造,研发与设计辅助系统生产,制造工艺研发与设计模具生产
CN105974555B,三维激光扫描仪的金属三棱镜、安装轴和三维激光扫描仪,发明授权,2016-07-22,2016-09-28,2018-09-18,北京超凡志成知识产权代理事务所(普通合伙),授权,企业,武汉海达数云技术有限公司,430000 湖北省武汉市东湖开发区武汉大学科技园以南国家地球空间信息产业基地五期-武大慧园1#幢7层3、4、5号房,CHN,.,G02B7/18(2006.01),G02B7/18(2006.01);G02B26/10(2006.01);G02B26/12(2006.01),3.0,4041.0,光学仪器制造,研发与设计电气设备生产,专用技术研发与设计传感器生产
CN110027484B,电动手机支架，汽车仪表板及汽车,发明授权,2019-04-22,2019-07-19,2020-04-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60R11/02(2006.01),B60R11/02(2006.01),1.0,3660.0,汽车零部件及配件制造,电气设备生产汽车销售,智能装置生产仪表盘生产汽车销售
CN104215370B,空调箱体风门机械传动扭矩及极限位置的测量方法及系统,发明授权,2014-08-22,2014-12-17,2016-09-28,武汉河山金堂专利事务所(普通合伙),授权,企业,湖北开特汽车电子电器系统股份有限公司,430064 湖北省武汉市武昌区白沙洲堤后街52号,CHN,,G01L3/00(2006.01),G01L3/00(2006.01);G01M13/02(2006.01);G01R31/34(2006.01),3.0,4090.0,其他仪器仪表制造业,研发与设计辅助系统生产,制造工艺研发与设计汽车测试空调与冰箱生产
CN110052812B,一种汽车车门铰链衬套销轴压入设备,发明授权,2019-05-22,2019-07-26,2020-07-10,南京纵横知识产权代理有限公司,发明专利权授予,企业,武汉东焊汽车装备有限公司,430090 湖北省武汉市汉南区纱帽街汉南大道1148号加工车间1-2层1号,CHN,.,B23P19/027(2006.01),B23P19/027(2006.01),1.0,3422.0,金属成形机床制造,整车组装车身制造,车门生产
CN109878491B,ABS磁极固定装置及总成以及集成ABS磁极固定装置的轮毂电机,发明授权,2019-03-21,2019-06-14,2020-08-04,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60T17/00(2006.01),B60T17/00(2006.01),1.0,3660.0,汽车零部件及配件制造,辅助系统生产电气设备生产,汽车安全装置生产电动机生产
CN106392310B,用于旋切打孔的光学装置,发明授权,2016-11-01,2017-02-15,2019-06-11,武汉开元知识产权代理有限公司,授权,企业,武汉华工激光工程有限责任公司,430223 湖北省武汉市东湖高新技术开发区华中科技大学科技园华工科技激光产业园,CHN,,B23K26/064(2014.01),B23K26/064(2014.01);B23K26/08(2014.01);B23K26/382(2014.01),3.0,3421.0,金属切削机床制造,研发与设计辅助系统生产,专用技术研发与设计智能装置生产
CN109540336B,大体积混凝土内部温度测量系统及方法,发明授权,2018-11-26,2019-03-29,2020-05-26,石家庄国为知识产权事务所,发明专利权授予,企业,中铁十一局集团有限公司,430061 湖北省武汉市武昌区中山路277号,CHN,.,G01K13/00(2006.01),G01K13/00(2006.01);G01K1/02(2006.01);G06K17/00(2006.01);G08C17/02(2006.01),4.0,4014,实验分析仪器制造,研发与设计,汽车测试
CN104154966B,基于压力检测的液位传感器,发明授权,2014-07-25,2014-11-19,2017-09-26,北京联瑞联丰知识产权代理事务所(普通合伙),授权,企业,武汉飞恩微电子有限公司,430056 湖北省武汉市东湖开发区高新大道999号海外人才大楼A座14楼,CHN,,G01F23/14(2006.01),G01F23/14(2006.01),1.0,4014.0,实验分析仪器制造,电气设备生产,传感器生产
CN106061204B,一种励磁功率柜的冷却系统,发明授权,2016-06-27,2016-10-26,2019-03-22,武汉智权专利代理事务所(特殊普通合伙),授权,企业,武汉洪山电工科技有限公司,430223 湖北省武汉市东湖开发区华中科技大学科技园华工园二路7号楼,CHN,,H05K7/20(2006.01),H05K7/20(2006.01);H02M1/00(2007.01),2.0,3990.0,其他电子设备制造,电气设备生产,冷却系统生产
CN107316459B,一种车辆轨迹异常检测方法及系统,发明授权,2017-07-21,2017-11-03,2019-07-23,北京路浩知识产权代理有限公司,专利权人的姓名或者名称、地址的变更,企业,武汉依迅北斗空间技术有限公司,430040 湖北省武汉市东湖新技术开发区武大科技园以南、万科城市花园西侧国家地球空间信息产业基地Ⅱ区（6期）A-1幢2层3号,CHN,,G08G1/01(2006.01),G08G1/01(2006.01);G08G1/017(2006.01),2.0,3596.0,交通安全、管制及类似专用设备制造,研发与设计,专用技术研发与设计汽车测试
CN109809129B,一种kit料车旋转随行移载系统,发明授权,2019-03-21,2019-05-28,2020-04-21,武汉智权专利代理事务所(特殊普通合伙),发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B65G35/00(2006.01),B65G35/00(2006.01);B65G43/00(2006.01);B62D65/18(2006.01),3.0,3434.0,连续搬运设备制造,整车组装,整车组装
CN110907685B,一种高压电缆泄漏电流监测装置,发明授权,2019-12-16,2020-03-24,2020-10-27,北京天奇智新知识产权代理有限公司,发明专利权授予,企业,武汉朗德电气有限公司,430000 湖北省武汉市东湖新技术开发区高新四路40号葛洲坝太阳城10栋5层02室,CHN,.,G01R19/00(2006.01),G01R19/00(2006.01);G01R31/52(2020.01),2.0,4090.0,其他仪器仪表制造业,电气设备生产,传感器生产
CN107570907B,一种集装箱铝制T地板翻面焊接装置和方法,发明授权,2017-09-20,2018-01-12,2019-12-24,北京众达德权知识产权代理有限公司,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B23K31/02(2006.01),B23K31/02(2006.01);B23K37/047(2006.01),2.0,3424.0,金属切割及焊接设备制造,研发与设计整车组装,制造工艺研发与设计车厢生产
CN106813207B,旋转式光束图案调整装置及照明和/或信号指示设备,发明授权,2015-11-27,2017-06-09,2019-08-23,中科专利商标代理有限责任公司,授权,企业,法雷奥照明湖北技术中心有限公司,430056 湖北省武汉市经济技术开发区耀华路6号,CHN,,F21V5/00(2018.01),F21V5/00(2018.01);F21S10/00(2006.01);F21V14/06(2006.01);F21V13/00(2006.01);F21V23/00(2015.01),5.0,3879.0,灯用电器附件及其他照明器具制造,电气设备生产,车灯生产
CN103557765B,机罩在白车身上的检测装置及检测方法,发明授权,2013-11-12,2014-02-05,2016-07-06,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,G01B5/00(2006.01)I,G01B5/00(2006.01)I,1.0,4090.0,其他仪器仪表制造业,研发与设计整车组装汽车测试,制造工艺研发与设计整车组装汽车测试
CN105113379B,一种井盖修复车及自动铣刨系统,发明授权,2015-08-25,2015-12-02,2018-06-08,重庆创新专利商标代理有限公司,授权,企业,武汉市汉福专用车有限公司,430042 湖北省武汉市东西湖区柏泉银柏路288号,CHN,.,E01C23/088(2006.01),E01C23/088(2006.01);E02D29/14(2006.01),2.0,3513.0,建筑工程用机械制造,整车组装辅助系统生产,专用技术研发与设计汽车测试
CN109237225B,一种用于无线信号接收器的装放机构,发明授权,2018-08-14,2019-01-18,2020-11-13,广州海藻专利代理事务所(普通合伙),发明专利权授予,企业,中贝通信集团股份有限公司,430000 湖北省武汉市江汉经济开发区江兴路25号C栋,CHN,.,F16M11/04(2006.01),F16M11/04(2006.01);F16M11/22(2006.01),2.0,3311.0,金属结构制造,电气设备生产,智能装置生产
CN103776448B,一种姿态航向参考系统,发明授权,2014-02-17,2014-05-07,2016-08-31,武汉东喻专利代理事务所(普通合伙),著录事项变更,企业,武汉元生创新科技有限公司,430000 湖北省武汉市东湖开发区东信路数码港E幢二层2256、2266室,CHN,,G01C21/16(2006.01),G01C21/16(2006.01),1.0,4023.0,导航、气象及海洋专用仪器制造,辅助系统生产,智能装置生产
CN105356719B,一种永磁同步直线电机的直线运动机构,发明授权,2015-11-24,2016-02-24,2018-03-13,武汉东喻专利代理事务所(普通合伙),授权,企业,武汉华中数控股份有限公司,430223 湖北省武汉市东湖开发区华工科技园,CHN,.,H02K41/03(2006.01),H02K41/03(2006.01),1.0,3811,发电机及发电机组制造,电气设备生产,电动机生产
CN105253568B,用于多车型无源台车的双向无极支撑机构,发明授权,2015-10-14,2016-01-20,2017-04-26,北京市科名专利代理事务所(特殊普通合伙),授权,企业,武汉瑞松北斗汽车装备有限公司,430109 湖北省武汉市经济技术开发区经开万达广场二期地6幢7-701,CHN,,B65G35/06(2006.01),B65G35/06(2006.01),1.0,3434.0,连续搬运设备制造,整车组装,车厢生产
CN108889829B,汽车板材开卷落料工艺,发明授权,2018-06-14,2018-11-27,2019-09-24,武汉红观专利代理事务所(普通合伙),授权,企业,武汉宝钢华中贸易有限公司,430051 湖北省武汉市武汉经济技术开发区江城大道531号,CHN,,B21D28/02(2006.01),B21D28/02(2006.01);B21C47/16(2006.01),2.0,3311.0,金属结构制造,研发与设计车身制造,制造工艺研发与设计车身壳体生产
CN106225642B,曲轴在线自动测量仪,发明授权,2016-08-26,2016-12-14,2019-02-05,武汉开元知识产权代理有限公司,授权,企业,东风汽车有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道10号,CHN,,G01B5/08(2006.01),G01B5/08(2006.01);G01B5/00(2006.01),2.0,4090.0,其他仪器仪表制造业,发动机制造,汽车测试
CN107834948B,一种用于汽车电机控制安全输入的方法,发明授权,2017-11-14,2018-03-23,2020-08-28,,发明专利权授予,企业,武汉欧拓莫科技有限公司,430074 湖北省武汉市东湖新技术开发区武大园路5-1号国家地球空间信息产业基地南主楼1单元3层01号（05）,CHN,.,H02P29/02(2016.01),H02P29/02(2016.01);B60L15/20(2006.01),2.0,3811.0,发电机及发电机组制造,电气设备生产,电控系统生产
CN104811730B,一种视频图像帧内编码单元纹理分析及编码单元选择方法,发明授权,2015-04-29,2015-07-29,2017-09-26,北京远大卓悦知识产权代理事务所(普通合伙),专利申请权、专利权的转移,企业,武汉光发科技有限公司,430040 湖北省武汉市武汉金山大道海口三路6号,CHN,,H04N19/593(2014.01),H04N19/593(2014.01);H04N19/105(2014.01);H04N19/14(2014.01),3.0,3932.0,广播电视接收设备及器材制造,研发与设计,专用技术研发与设计
CN109366233B,一种集装箱铝型材地板自动切割工装,发明授权,2018-11-29,2019-02-22,2020-05-12,武汉科皓知识产权代理事务所(特殊普通合伙),发明专利权授予,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,B23Q3/08(2006.01),B23Q3/08(2006.01);B23Q7/00(2006.01);B23Q7/03(2006.01);B23Q11/00(2006.01);B23D59/00(2006.01),5.0,3425.0,机床附件制造,研发与设计,制造工艺研发与设计
CN106300521B,一种立体车库的交流充电桩控制系统,发明授权,2016-08-29,2017-01-04,2020-03-06,北京轻创知识产权代理有限公司,发明专利权授予,企业,武汉北方能源股份有限公司,430000 湖北省武汉市解放大道41号都市工业园A103-A126栋,CHN,.,H02J7/00(2006.01),H02J7/00(2006.01);B60L53/31(2019.01);B60L53/66(2019.01);B60L53/68(2019.01),4.0,3829.0,其他输配电及控制设备制造,辅助系统生产,智能装置生产电控系统生产
CN105634640B,TDD同步开关的实现方法及装置,发明授权,2015-12-31,2016-06-01,2018-04-17,武汉开元知识产权代理有限公司,授权,企业,武汉凡谷电子技术股份有限公司,430205 湖北省武汉市江夏区关凤路藏龙岛凡谷工业园4号楼2楼,CHN,.,H04J3/06(2006.01),H04J3/06(2006.01),1.0,3921,通信系统设备制造,研发与设计电气设备生产,专用技术研发与设计电控系统生产
CN107792110B,一种转向架及物流运输车,发明授权,2017-11-21,2018-03-13,2019-10-25,北京众达德权知识产权代理有限公司,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B61F5/18(2006.01),B61F5/18(2006.01);B61F5/52(2006.01);B61C9/38(2006.01);B61D3/00(2006.01);B61B13/10(2006.01),5.0,3713.0,铁路机车车辆配件制造,汽车底盘生产,转向系统生产
CN108104946B,一种用于可变压缩比发动机的润滑系统,发明授权,2017-12-15,2018-06-01,2020-04-03,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F02B75/04(2006.01),F02B75/04(2006.01);F01M1/08(2006.01);F01M1/02(2006.01),3.0,3412.0,内燃机及配件制造,发动机制造,润滑系统生产
CN104878178B,一种抗拉强度≥1000 MPa捆带的生产方法,发明授权,2015-05-08,2015-09-02,2017-06-13,湖北武汉永嘉专利代理有限公司,授权,企业,武汉钢铁江北集团有限公司,430415 湖北省武汉市阳逻开发区滨江大道特1号,CHN,,C21D8/02(2006.01),C21D8/02(2006.01);C21D1/60(2006.01);C21D9/52(2006.01),3.0,3360.0,金属表面处理及热处理加工,研发与设计,制造工艺研发与设计
CN104713736B,用于白车身扭转试验的高强度可调约束装置,发明授权,2015-04-01,2015-06-17,2017-06-20,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,G01M17/007(2006.01),G01M17/007(2006.01),1.0,4015.0,试验机制造,车身制造,汽车测试
CN108580651B,微型槽类导轨双侧面摆冲的模具结构,发明授权,2018-06-05,2018-09-28,2020-05-22,深圳市港湾知识产权代理有限公司,发明专利权授予,企业,武汉建海精密型材发展有限公司,430000 湖北省武汉市江岸区谌家矶平安铺王家墩特2号盛兴工业园内,CHN,.,B21D28/14(2006.01),B21D28/14(2006.01),1.0,3311.0,金属结构制造,车身制造,模具生产
CN105277156B,一种用于架车机螺母磨耗的检测装置及检测方法,发明授权,2015-11-30,2016-01-27,2018-03-27,武汉科皓知识产权代理事务所(特殊普通合伙),专利申请权、专利权的转移,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,G01B21/00(2006.01),G01B21/00(2006.01);G01M13/00(2006.01);G01N3/56(2006.01),3.0,4090.0,其他仪器仪表制造业,研发与设计汽车维修与服务,制造工艺研发与设计汽车测试
CN105429402B,一种电动汽车动力电机变速器端盖装配工装,发明授权,2015-12-29,2016-03-23,2018-06-29,北京律谱知识产权代理事务所(普通合伙),授权,企业,武汉理工通宇新源动力有限公司,430223 湖北省武汉市东湖新技术开发区理工大科技园,CHN,.,H02K15/14(2006.01),H02K15/14(2006.01);H02K15/16(2006.01),2.0,3561.0,电工机械专用设备制造,整车组装电气设备生产,电动机生产传动系统生产
CN110912338B,一种摇摆驱动装置,发明授权,2019-12-04,2020-03-24,2020-11-17,湖北武汉永嘉专利代理有限公司,发明专利权授予,企业,武汉久久智造科技有限公司,430070 湖北省武汉市洪山区东湖新技术开发区光谷大道特1号国际企业中心三期三栋3层07号,CHN,.,H02K7/14(2006.01),H02K7/14(2006.01);H02P7/03(2016.01);H02P8/20(2006.01);H02P23/24(2016.01),4.0,3811,发电机及发电机组制造,发动机制造,传动系统生产
CN106089218B,预制拼装地下廊道双模掘进机,发明授权,2016-08-05,2016-11-09,2017-08-15,武汉开元知识产权代理有限公司,著录事项变更,企业,中交第二航务工程局有限公司,430040 湖北省武汉市东西湖区金银湖路11号,CHN,,E21D9/00(2006.01),E21D9/00(2006.01);E02F3/28(2006.01),2.0,3511.0,矿山机械制造,研发与设计,专用技术研发与设计
CN108168766B,一种重载压力传感器及其制造方法,发明授权,2018-01-09,2018-06-15,2020-03-27,北京科亿知识产权代理事务所(普通合伙),发明专利权授予,企业,武汉飞恩微电子有限公司,430075 湖北省武汉市东湖开发区高新大道818号医疗器械园B12栋3楼,CHN,.,G01L9/06(2006.01),G01L9/06(2006.01),1.0,4090,其他仪器仪表制造业,电气设备生产,传感器生产
CN109186617B,一种基于视觉众包数据自动生成车道级拓扑关系的方法、系统及存储器,发明授权,2018-08-13,2019-01-11,2020-10-30,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉中海庭数据技术有限公司,430000 湖北省武汉市硚口区古田一路28号新工厂产业园7号A楼,CHN,.,G01C21/32(2006.01),G01C21/32(2006.01),1.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计,专用技术研发与设计智能装置生产
